coid,year_q,K_avg
6442,2021Q4,51.052019267442525
6442,2022Q1,51.332228959615875
6442,2022Q2,57.565751911725606
6442,2022Q3,46.27525769936759
6442,2022Q4,42.29756909349886
6442,2023Q1,60.04314650272577
6442,2023Q2,51.52090707544914
6442,2023Q3,47.93159173418959
6442,2023Q4,35.87635204946516
6442,2024Q1,64.64288545286385
6442,2024Q2,68.70956760230708
6442,2024Q3,53.58505476645724
6442,2024Q4,59.85651207803139
6442,2025Q1,36.64372035569266
6442,2025Q2,53.31473916943286
6442,2025Q3,55.724464695697954
6442,2025Q4,54.867878443434265
6443,2020Q1,36.49941063965564
6443,2020Q2,59.389199545640864
6443,2020Q3,74.77022435334926
6443,2020Q4,56.77744297237874
6443,2021Q1,48.51706387657939
6443,2021Q2,39.9544040965777
6443,2021Q3,32.520161686072534
6443,2021Q4,48.342435515038616
6443,2022Q1,44.608625783941314
6443,2022Q2,39.87318222329854
6443,2022Q3,58.29805395263419
6443,2022Q4,43.183824730551876
6443,2023Q1,53.13730489256065
6443,2023Q2,37.967525402121716
6443,2023Q3,28.34344634584491
6443,2023Q4,41.5060494611912
6443,2024Q1,36.505910811131045
6443,2024Q2,34.374792060192966
6443,2024Q3,44.62880035949157
6443,2024Q4,33.58363916092545
6443,2025Q1,51.64065170305499
6443,2025Q2,38.87311032424883
6443,2025Q3,47.934289858877335
6443,2025Q4,46.28086111223412
6446,2020Q1,41.157675197832894
6446,2020Q2,65.04152580886655
6446,2020Q3,35.286155928424286
6446,2020Q4,45.515034555112905
6446,2021Q1,42.14526481095759
6446,2021Q2,36.010448760077864
6446,2021Q3,48.37261794733465
6446,2021Q4,69.1730236372538
6446,2022Q1,49.802717601359596
6446,2022Q2,63.61973071725353
6446,2022Q3,54.35772128453597
6446,2022Q4,44.136159335538544
6446,2023Q1,34.85776283858874
6446,2023Q2,27.688351638382464
6446,2023Q3,46.92752420022097
6446,2023Q4,45.60650247351105
6446,2024Q1,41.53598569012627
6446,2024Q2,62.78345161739874
6446,2024Q3,63.15821700810976
6446,2024Q4,41.823806274312744
6446,2025Q1,42.81400208968792
6446,2025Q2,53.255720763360294
6446,2025Q3,44.563164696128815
6446,2025Q4,35.49029214088563
6449,2020Q1,34.30436513770057
6449,2020Q2,58.67305748688186
6449,2020Q3,63.76118938237275
6449,2020Q4,48.360530969354315
6449,2021Q1,54.80772520895437
6449,2021Q2,47.655224745477014
6449,2021Q3,42.704934951061055
6449,2021Q4,61.04922063430205
6449,2022Q1,49.77437452396474
6449,2022Q2,36.46930162998193
6449,2022Q3,45.932314091923615
6449,2022Q4,47.03348338319984
6449,2023Q1,68.93514524605081
6449,2023Q2,45.64674126755838
6449,2023Q3,55.42113815926346
6449,2023Q4,50.627265709203435
6449,2024Q1,53.98929368471259
6449,2024Q2,62.567990657321836
6449,2024Q3,50.88768759185621
6449,2024Q4,42.6246033163651
6449,2025Q1,41.39574876952756
6449,2025Q2,43.5024850650656
6449,2025Q3,57.99776382614186
6449,2025Q4,34.46555889404085
6451,2020Q1,41.146185248770124
6451,2020Q2,55.31018096972506
6451,2020Q3,41.37727950642159
6451,2020Q4,52.79791819655789
6451,2021Q1,47.08777171730356
6451,2021Q2,47.369240604750466
6451,2021Q3,33.26156384323972
6451,2021Q4,39.70653035898988
6451,2022Q1,35.02056713880636
