coid,year,ROA,EPS,ROE,OM,GM,FCF,total_assets,LEV
2013,2025,4.63,3.19,11.5,2.87,4.7,1.2023347177695891,14959765,62.05
2014,2025,-5.77,-1.29,-14.05,-10.55,-8.36,-1.276794894934494,26886152,54.95
2015,2025,8.65,3.88,10.04,8.62,11.53,1.0136637662285155,25840611,12.49
2017,2025,-1.39,-0.56,-4.47,-14.73,0.44,-30.116924144091378,13652084,52.89
2020,2025,6.9,2.13,12.53,7.99,18.65,3.692845397183702,9095847,50.66
2022,2025,1.79,-0.02,1.76,1.0,10.01,-4.23708683438485,10459441,33.31
2023,2025,-2.55,-1.85,-11.11,0.08,8.27,-9.688418574946613,99525592,66.74
2024,2025,0.19,-0.06,-0.53,0.64,6.83,9.972196553675307,1654188,32.61
2025,2025,-1.31,-0.18,-2.17,-23.12,-28.92,45.83041227808726,2161477,33.22
2027,2025,6.35,2.88,9.74,13.8,24.73,-4.326008590431427,153516847,42.34
2028,2025,1.5,0.28,1.9,1.63,3.93,2.193933136797674,8326440,43.21
2029,2025,2.25,0.74,2.47,2.22,10.3,-8.052728376018555,11319659,10.29
2030,2025,1.8,0.35,1.95,2.18,9.35,-2.0954796606623605,11443077,57.16
2031,2025,4.94,3.3,8.87,5.39,8.88,2.1938059432366477,28718181,56.62
2032,2025,3.63,0.56,4.21,0.82,4.16,1.8345942277366352,2164447,19.03
2033,2025,2.44,0.35,2.7,4.33,14.24,35.33898208829777,1235041,14.45
2034,2025,1.28,0.21,1.07,1.55,8.5,-3.346052625070816,21938894,55.87
2035,2025,-8.47,-4.72,-54.16,-16.16,-13.04,-20.76052029498183,17451886,86.96
2038,2025,-0.48,-0.56,-3.12,-0.87,1.32,0.01674609597742645,9648826,58.66
2049,2025,2.91,4.31,3.78,6.77,28.76,-4.802925894920465,54175996,30.83
2059,2025,32.05,103.23,39.89,69.07,76.05,0.6748892931817208,35083436,20.12
2061,2025,-3.52,-0.97,-8.71,-0.37,5.3,-0.07873458755070846,1182669,48.23
2062,2025,0.93,0.39,1.01,1.13,9.71,30.055847106299332,11247296,32.35
2063,2025,4.84,1.72,8.13,3.73,17.0,-81.80682957626175,1966185,53.23
2064,2025,-2.52,-1.3,-9.16,-4.13,3.22,0.3600454746126766,2458652,61.93
2065,2025,2.92,1.12,3.84,4.79,14.6,7.1986984288502285,3391238,47.53
2066,2025,2.28,1.34,2.73,2.73,29.89,6.159975424928244,3746589,43.52
2067,2025,-6.18,-2.8,-49.8,-12.62,3.88,36.04641638225256,1943102,84.33
2069,2025,4.15,1.62,6.61,3.63,9.36,-8.076014089498889,9017645,53.87
2070,2025,6.4,2.3,8.73,13.5,46.4,3.2963004737198287,1409590,32.22
2072,2025,8.51,11.94,10.58,22.65,28.43,9.376764598620062,24319195,19.03
2073,2025,-1.18,-0.39,-2.49,-2.1,9.79,6.520666792403558,664018,37.81
