coid,year_q,RSI
1720 生達,2021Q1,66.35223687217487
1720 生達,2021Q2,64.3067485140353
1720 生達,2021Q3,50.831085756641826
1720 生達,2021Q4,67.32709076003938
1720 生達,2022Q1,45.36699417437993
1720 生達,2022Q2,56.34653318460248
1720 生達,2022Q3,42.487118457756274
1720 生達,2022Q4,59.34159024631588
1720 生達,2023Q1,44.47053403058064
1720 生達,2023Q2,56.37270132913199
1720 生達,2023Q3,58.96596553006964
1720 生達,2023Q4,47.803467274654835
1720 生達,2024Q1,53.83560555015573
1720 生達,2024Q2,68.10306121396476
1720 生達,2024Q3,42.261018485528
1720 生達,2024Q4,44.52939790346294
1720 生達,2025Q1,29.28704895563366
1720 生達,2025Q2,43.84180318505976
1720 生達,2025Q3,61.191616872489405
1720 生達,2025Q4,36.31559588222449
1721 三晃,2020Q1,35.88368861183995
1721 三晃,2020Q2,43.56478639539347
1721 三晃,2020Q3,25.526471114906574
1721 三晃,2020Q4,44.83696667918194
1721 三晃,2021Q1,59.317324733218044
1721 三晃,2021Q2,50.379440852331655
1721 三晃,2021Q3,52.94117818273135
1721 三晃,2021Q4,55.8443471646041
1721 三晃,2022Q1,54.62681940321977
1721 三晃,2022Q2,34.53976756802572
1721 三晃,2022Q3,39.87871632418856
1721 三晃,2022Q4,36.682348441363544
1721 三晃,2023Q1,39.22783910832672
1721 三晃,2023Q2,44.50021442522393
1721 三晃,2023Q3,51.73381939682675
1721 三晃,2023Q4,38.691709104362644
1721 三晃,2024Q1,46.99679316355843
1721 三晃,2024Q2,43.70507752380806
1721 三晃,2024Q3,77.58663195181967
1721 三晃,2024Q4,28.928369954964282
1721 三晃,2025Q1,19.685009370234333
1721 三晃,2025Q2,40.75344203785796
1721 三晃,2025Q3,57.741305469939896
1721 三晃,2025Q4,79.155119309235
1722 台肥,2020Q1,37.968152937954066
1722 台肥,2020Q2,55.26764397249059
1722 台肥,2020Q3,44.894012262976176
1722 台肥,2020Q4,60.13647981141666
1722 台肥,2021Q1,70.66665208787927
1722 台肥,2021Q2,59.60034144980902
1722 台肥,2021Q3,94.8355958912986
1722 台肥,2021Q4,61.79108322171203
1722 台肥,2022Q1,51.22582675407984
1722 台肥,2022Q2,34.47260419476127
