coid,year,RET,ROA,EPS,ROE,OM,FCF,BIAS,PPO,K,RSI,SIZE,LEV
1220,2023,-5.2425,5.06,0.76,6.35,4.93,-2.1875119602981887,-3.4711175996339314,-0.0957224370837579,42.37858728642036,53.08771464030264,14.977419346781115,20.71
1220,2024,27.5889,7.16,1.18,9.07,7.25,-0.2929006592598331,23.185089955621425,0.4677749010605995,45.64379981804454,48.25174951982142,15.061983212423156,23.34
1220,2025,-26.609,1.42,0.08,1.65,1.01,-0.0086684126294437,-9.572265922907633,-0.8949077889120665,43.783369899770506,40.57792743023007,15.077111782326606,27.44
1225,2020,12.0513,5.71,1.72,11.32,4.98,-10.063051470925654,-9.084409704017926,0.0001073355245709,51.36809186480222,63.42690771504302,15.855872596520223,51.48
1225,2021,45.3507,6.04,2.07,12.8,4.05,-4.559733074919923,32.14336780897001,0.7437480174426102,54.95455358729002,84.40441010956819,16.024791936854708,57.49
1225,2022,12.7549,4.22,1.69,8.99,2.36,-9.249179602119437,49.00386063581335,0.2175358576660825,57.704294920826094,64.43898170944775,16.060589729685834,59.2
1225,2023,2.2437,5.16,1.6,10.51,3.18,-5.757258468281845,52.39979028644963,0.0608367296021402,47.96416921878368,54.790274315714505,15.981189656478804,54.9
1225,2024,-24.4778,4.85,1.5,9.91,3.69,-0.97985620618503,15.074352986034986,-0.1859367640449679,52.73798606221556,18.478782495910814,16.119655433864246,60.21
1225,2025,-26.2505,5.86,1.62,11.2,4.37,8.376012592495368,-15.101758734092757,-1.7088776175436649,40.94799398023596,22.79703716629988,15.91793178259317,45.9
1227,2020,-8.3065,12.37,3.54,18.62,11.73,-1.3610124242875754,56.28836119424321,-0.1544682761129472,47.6570192487094,62.208005058499126,17.14140455581692,35.25
1227,2021,-9.6014,9.05,2.7,13.71,8.69,1.2875389569774032,41.34012064255679,-0.1795821055136858,46.80569644700526,50.68777799645887,17.157988543381247,34.68
1227,2022,-21.2777,4.6,1.34,6.85,4.99,4.988208151786036,11.25717500007768,-0.457576747853331,43.61139161060441,55.75507227835287,17.145190920872718,36.08
1227,2023,0.7713,4.96,1.35,7.14,4.89,-1.1813303905943893,12.158420272424696,0.0260405444825221,46.06037531006292,48.78836175713533,17.062997590617105,31.35
1227,2024,-2.825,6.98,1.91,9.9,6.59,1.1505189159621338,9.019600530802377,-0.031099599075368,46.21756950173164,30.647227118146013,17.12713513953718,31.73
1227,2025,-13.9712,4.59,1.33,6.56,4.72,5.515405919740568,-6.14618198317469,-0.4352844824799088,42.41135057255505,39.70774123067517,17.136360202102686,31.89
1229,2020,38.2212,6.93,2.43,8.53,11.0,47.7546049999531,-41.52148790964394,0.5981609584864457,55.799351530325325,70.75009800138724,17.840657191962443,20.61
1229,2021,65.2701,7.54,2.92,9.41,12.75,23.065914042795967,-3.429779996947431,0.8780494343134578,60.4992309099457,83.5828061077216,18.08758628222108,21.27
1229,2022,-12.6187,7.0,2.63,8.81,12.61,11.474424520456717,-15.640058434903958,-0.1990741384896572,48.50781025284076,65.11083828439071,18.06271279301168,23.57
1229,2023,45.0955,6.4,2.64,8.04,8.56,-3.331130808849093,22.49525761507097,0.7169899166182754,58.00169874440098,57.60123694162931,18.25324764201668,22.72
1229,2024,-16.3625,5.71,2.46,6.99,10.28,43.90583149317719,2.4573185356387555,-0.2244952447532464,45.79916728967121,24.93480378753163,18.338416695092963,19.87
1229,2025,1.199,6.11,2.57,7.32,15.07,41.73226038062895,3.6783463794343976,-0.1615720090474271,48.20949302436527,49.2092099780883,18.38348570573357,18.49
1231,2020,21.9081,8.73,3.74,17.76,8.38,-0.9320330388814574,-78.13320672169782,0.3268180534634612,61.31836774384325,83.44924334288008,15.992824335487212,53.92
1231,2021,66.3267,9.3,4.03,18.85,9.94,2.6494703009689045,-63.64296504516701,0.9724137784636148,55.60950885511906,59.97388557404386,16.035660224682022,50.39
1231,2022,21.6415,9.13,3.89,17.89,10.93,-26.75961158623109,-55.74069038937185,0.3408687766409965,54.06742822508237,65.77368535325387,16.168601010006334,50.83
1231,2023,30.7675,8.55,3.93,17.71,8.38,-2.354390917236481,-42.10474867562969,0.5519048038787145,56.27071425277134,36.99929608546371,16.3810914082999,55.57
1231,2024,76.8866,8.75,4.22,18.57,8.55,-12.221827130081826,2.318849389380891,0.9280759577312292,61.33728419600914,78.72157765706757,16.470621268335687,53.91
1231,2025,-21.6722,8.11,3.81,16.47,8.86,9.232360634585584,-19.82723426137144,-0.5120620218892233,45.62339688073072,42.64287070562311,16.521723605866843,51.45
1232,2020,22.5948,21.84,8.08,30.15,9.28,0.1323251570364815,-21.01684098660573,0.1746207259322456,59.83162594407631,76.39425496884195,15.663758735347995,26.9
1232,2021,15.3995,19.14,7.76,26.54,7.48,0.3989478709363387,-8.763531538494522,0.4261962940926221,51.98170438892399,59.7162013391218,15.7619202964897,29.21
1232,2022,-7.5978,17.71,7.66,24.79,5.97,0.5013872496086356,-15.744039863737216,-0.1231356290029322,46.11407189339486,44.87535321243704,15.816098403566045,28.71
1232,2023,5.1753,16.26,7.53,23.17,6.46,0.9871014371415048,-11.348904992288103,0.0822793265445114,48.92924268755989,40.44902959027654,15.91724194986277,32.12
1232,2024,7.935,16.16,8.24,24.06,7.38,0.6516402776957663,-4.2663424517640784,0.1233878933204102,51.733407931215496,62.17491901781674,16.026543471018755,35.8
1232,2025,2.7386,14.74,8.25,23.06,7.85,0.1801594535357019,-1.687772612322579,0.1064121740177295,46.20547717743285,46.89880872514138,16.11577355698373,38.63
1233,2020,-5.9327,2.55,0.63,3.68,3.41,5.286337505767544,2.9892475208392018,-0.0720961189804466,53.0604007958246,60.74723276629872,14.704847683126165,38.19
1233,2021,-1.7643,2.04,0.48,2.93,0.84,6.1695038295581535,1.1750298859958606,-0.0403246798239184,55.01008844876409,61.56359269698655,14.652531216939092,36.77
1233,2022,-4.2931,2.45,0.57,3.5,1.07,1.3688278395286106,-3.133736996757091,-0.0706295853911421,51.73461371238512,56.18034091087139,14.671609574304547,36.72
